id;school_id;config_type;field_type;field_name;display_field_name;field_value;display_order;created_by
53;-1;STAFF_ATTENDANCE;INTEGER;LATE_PENALTY;Actual late day == how many late days;3;2;System
54;-1;STAFF_ATTENDANCE;INTEGER;GRACE_PENALTY;No. of grace considered as one day salary deduction;5;3;System
55;-1;PUSH_NOTIFICATION;BOOLEAN;ATTENDANCE_POSTED;Attendance is posted;TRUE;1;System
56;-1;PUSH_NOTIFICATION;BOOLEAN;TEST_POSTED;Test is posted;TRUE;2;System
57;-1;PUSH_NOTIFICATION;BOOLEAN;TEST_MODIFIED;Test is modified;TRUE;3;System
58;-1;PUSH_NOTIFICATION;BOOLEAN;TEST_DELETED;Test is deleted;TRUE;4;System
59;-1;PUSH_NOTIFICATION;BOOLEAN;ASSIGNMENT_POSTED;Assignment is posted;TRUE;5;System
60;-1;PUSH_NOTIFICATION;BOOLEAN;ASSIGNMENT_MODIFIED;Assignment is modified;TRUE;6;System
61;-1;PUSH_NOTIFICATION;BOOLEAN;ASSIGNMENT_DELETED;Assignment is deleted;TRUE;7;System
62;-1;PUSH_NOTIFICATION;BOOLEAN;EXAM_PUBLISHED;Exam is published;FALSE;8;System
63;-1;PUSH_NOTIFICATION;BOOLEAN;TEST_RESULT_PUBLISHED;Test result is published;FALSE;9;System
64;-1;PUSH_NOTIFICATION;BOOLEAN;ASSIGNMENT_RESULT_PUBLISHED;Assignment result is published;FALSE;10;System
65;-1;PUSH_NOTIFICATION;BOOLEAN;EXAM_RESULT_PUBLISHED;Exam result is published;FALSE;11;System
66;-1;PUSH_NOTIFICATION;BOOLEAN;GRADE_CARD_PUBLISHED;Grade card is published;FALSE;12;System
67;-1;PUSH_NOTIFICATION;BOOLEAN;SCHOOL_EVENT_POSTED;School event is posted;TRUE;13;System
68;-1;PUSH_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_POSTED;Student leave application is posted;TRUE;14;System
69;-1;PUSH_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_MODIFIED;Student leave application is modified;TRUE;15;System
70;-1;PUSH_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_DELETED;Student leave application is deleted;TRUE;16;System
71;-1;PUSH_NOTIFICATION;BOOLEAN;STUDENT_LEAVE_APPLICATION_STATUS_UPDATED;Student leave application status is updated;FALSE;17;System
72;-1;PUSH_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_POSTED;Staff leave application is posted;TRUE;18;System
73;-1;PUSH_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_MODIFIED;Staff leave application is modified;TRUE;19;System
74;-1;PUSH_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_DELETED;Staff leave application is deleted;TRUE;20;System
75;-1;PUSH_NOTIFICATION;BOOLEAN;STAFF_LEAVE_APPLICATION_STATUS_UPDATED;Staff leave application status is updated;FALSE;21;System
