user_id;authority_name
1;ROLE_ADMIN
2;ROLE_ADMIN
3;ROLE_NON_TEACHING
3;ROLE_TEACHING
4;ROLE_GUARDIAN
5;ROLE_TEACHING
6;ROLE_TEACHING
7;ROLE_TEACHING
8;ROLE_ADMIN
9;ROLE_TEACHING
10;ROLE_TEACHING
11;ROLE_TEACHING
12;ROLE_TEACHING
13;ROLE_TEACHING
14;ROLE_TEACHING
15;ROLE_TEACHING
16;ROLE_TEACHING
17;ROLE_TEACHING
18;ROLE_TEACHING
19;ROLE_TEACHING
20;ROLE_TEACHING
21;ROLE_TEACHING
22;ROLE_TEACHING
23;ROLE_TEACHING
24;ROLE_TEACHING
25;ROLE_TEACHING
26;ROLE_TEACHING
27;ROLE_TEACHING
28;ROLE_TEACHING
29;ROLE_TEACHING
30;ROLE_TEACHING
31;ROLE_TEACHING
32;ROLE_TEACHING
33;ROLE_TEACHING
34;ROLE_TEACHING
35;ROLE_TEACHING
36;ROLE_TEACHING
37;ROLE_TEACHING
38;ROLE_TEACHING
39;ROLE_TEACHING
40;ROLE_TEACHING
41;ROLE_TEACHING
42;ROLE_TEACHING
43;ROLE_TEACHING
44;ROLE_TEACHING
45;ROLE_TEACHING
46;ROLE_TEACHING
47;ROLE_TEACHING
48;ROLE_TEACHING
49;ROLE_TEACHING
50;ROLE_TEACHING
51;ROLE_TEACHING
52;ROLE_TEACHING
53;ROLE_TEACHING
54;ROLE_TEACHING
55;ROLE_TEACHING
56;ROLE_TEACHING
57;ROLE_TEACHING
58;ROLE_TEACHING
59;ROLE_TEACHING
60;ROLE_TEACHING
61;ROLE_TEACHING
62;ROLE_TEACHING
63;ROLE_TEACHING
64;ROLE_TEACHING
65;ROLE_TEACHING
66;ROLE_TEACHING
67;ROLE_GUARDIAN
68;ROLE_GUARDIAN
69;ROLE_GUARDIAN
70;ROLE_GUARDIAN
71;ROLE_GUARDIAN
72;ROLE_GUARDIAN
73;ROLE_GUARDIAN
74;ROLE_GUARDIAN
75;ROLE_GUARDIAN
76;ROLE_GUARDIAN
77;ROLE_GUARDIAN
78;ROLE_GUARDIAN
79;ROLE_GUARDIAN
80;ROLE_GUARDIAN
81;ROLE_GUARDIAN
82;ROLE_GUARDIAN
83;ROLE_GUARDIAN
84;ROLE_GUARDIAN
85;ROLE_GUARDIAN
86;ROLE_GUARDIAN
87;ROLE_GUARDIAN
88;ROLE_GUARDIAN
89;ROLE_GUARDIAN
90;ROLE_GUARDIAN
91;ROLE_GUARDIAN
92;ROLE_GUARDIAN
93;ROLE_GUARDIAN
94;ROLE_GUARDIAN
95;ROLE_GUARDIAN
96;ROLE_GUARDIAN
97;ROLE_GUARDIAN
98;ROLE_GUARDIAN
99;ROLE_GUARDIAN
100;ROLE_GUARDIAN
101;ROLE_GUARDIAN
102;ROLE_GUARDIAN
103;ROLE_GUARDIAN
104;ROLE_GUARDIAN
105;ROLE_GUARDIAN
106;ROLE_GUARDIAN
107;ROLE_GUARDIAN
108;ROLE_GUARDIAN
109;ROLE_GUARDIAN
110;ROLE_GUARDIAN
111;ROLE_GUARDIAN
112;ROLE_GUARDIAN
113;ROLE_GUARDIAN
114;ROLE_GUARDIAN
115;ROLE_GUARDIAN
116;ROLE_GUARDIAN
117;ROLE_GUARDIAN
118;ROLE_GUARDIAN
119;ROLE_GUARDIAN
120;ROLE_GUARDIAN
121;ROLE_GUARDIAN
122;ROLE_GUARDIAN
123;ROLE_GUARDIAN
124;ROLE_GUARDIAN
125;ROLE_GUARDIAN
126;ROLE_GUARDIAN
127;ROLE_GUARDIAN
128;ROLE_GUARDIAN
129;ROLE_GUARDIAN
130;ROLE_GUARDIAN
131;ROLE_GUARDIAN
132;ROLE_GUARDIAN
133;ROLE_GUARDIAN
134;ROLE_GUARDIAN
135;ROLE_GUARDIAN
136;ROLE_GUARDIAN
137;ROLE_GUARDIAN
138;ROLE_GUARDIAN
139;ROLE_GUARDIAN
140;ROLE_GUARDIAN
141;ROLE_GUARDIAN
142;ROLE_GUARDIAN
143;ROLE_GUARDIAN
144;ROLE_GUARDIAN
145;ROLE_GUARDIAN
146;ROLE_GUARDIAN
147;ROLE_GUARDIAN
148;ROLE_GUARDIAN
149;ROLE_GUARDIAN
150;ROLE_GUARDIAN
151;ROLE_GUARDIAN
152;ROLE_GUARDIAN
153;ROLE_GUARDIAN
154;ROLE_GUARDIAN
155;ROLE_GUARDIAN
156;ROLE_GUARDIAN
157;ROLE_GUARDIAN
158;ROLE_GUARDIAN
159;ROLE_GUARDIAN
160;ROLE_GUARDIAN
161;ROLE_GUARDIAN
162;ROLE_GUARDIAN
163;ROLE_GUARDIAN
164;ROLE_GUARDIAN
165;ROLE_GUARDIAN
166;ROLE_GUARDIAN
167;ROLE_GUARDIAN
168;ROLE_GUARDIAN
169;ROLE_GUARDIAN
170;ROLE_GUARDIAN
171;ROLE_GUARDIAN
172;ROLE_GUARDIAN
173;ROLE_GUARDIAN
174;ROLE_GUARDIAN
175;ROLE_GUARDIAN
176;ROLE_GUARDIAN
177;ROLE_GUARDIAN
178;ROLE_GUARDIAN
