id;school_id;config_type;field_type;field_name;display_field_name;field_value;order;created_by
1;-1;STAFF_ATTENDANCE;TIME;STAFF_PRESENT_STATUS_BEFORE;Present status before;800;0;System
2;-1;STAFF_ATTENDANCE;INTEGER;STAFF_GRACE_DURATION_IN_MINS;Grade duration in minutes;15;1;System
3;-1;STAFF_PAYROLL;INTEGER;LEAVE_CREDITS_PER_MONTH;Leave credits per cycle;2;0;System
4;-1;GRADING_METHOD;ENUM;GRADING_METHOD;Grading Method;Absolute;0;System
5;-1;GRADING_SCALE;STRING;GRADE;Ex;90;0;System
6;-1;GRADING_SCALE;STRING;GRADE;A;80;1;System
7;-1;GRADING_SCALE;STRING;GRADE;B;70;2;System
8;-1;GRADING_SCALE;STRING;GRADE;C;60;3;System
9;-1;GRADING_SCALE;STRING;GRADE;D;50;4;System
10;-1;GRADING_SCALE;STRING;GRADE;P;35;5;System
11;-1;SMS_NOTIFICATION;BOOLEAN;ATTENDANCE_POSTED;Attendance is posted;TRUE;1;System
12;-1;SMS_NOTIFICATION;BOOLEAN;TEST_POSTED;Test is posted;FALSE;2;System
13;-1;SMS_NOTIFICATION;BOOLEAN;TEST_MODIFIED;Test is modified;FALSE;3;System
14;-1;SMS_NOTIFICATION;BOOLEAN;TEST_DELETED;Test is deleted;TRUE;4;System
15;-1;SMS_NOTIFICATION;BOOLEAN;ASSIGNMENT_POSTED;Assignment is posted;FALSE;5;System
16;-1;SMS_NOTIFICATION;BOOLEAN;ASSIGNMENT_MODIFIED;Assignment is modified;FALSE;6;System
17;-1;SMS_NOTIFICATION;BOOLEAN;ASSIGNMENT_DELETED;Assignment is deleted;FALSE;7;System
18;-1;SMS_NOTIFICATION;BOOLEAN;EXAM_PUBLISHED;Exam is published;TRUE;8;System
19;-1;SMS_NOTIFICATION;BOOLEAN;TEST_RESULT_PUBLISHED;Test result is published;TRUE;9;System
20;-1;SMS_NOTIFICATION;BOOLEAN;ASSIGNMENT_RESULT_PUBLISHED;Assignment result is published;TRUE;10;System
21;-1;SMS_NOTIFICATION;BOOLEAN;EXAM_RESULT_PUBLISHED;Exam result is published;TRUE;11;System
22;-1;SMS_NOTIFICATION;BOOLEAN;GRADE_CARD_PUBLISHED;Grade card is published;TRUE;12;System
23;-1;SMS_NOTIFICATION;BOOLEAN;SCHOOL_EVENT_POSTED;School event is posted;TRUE;13;System
